Node ID, Distance (m), Lat, Lon
1030655376, 87558.76, 41.10972, 1.25030 
954842818, 87578.56, 41.10970, 1.25007 
1060085571, 87595.23, 41.10969, 1.24987 
1030655264, 87598.34, 41.10972, 1.24987 
995925810, 87605.27, 41.10978, 1.24988 
995925537, 87612.49, 41.10984, 1.24990 
995925456, 87619.61, 41.10989, 1.24997 
995925700, 87630.17, 41.10992, 1.25009 
819190327, 87640.29, 41.10993, 1.24997 
995925791, 87659.90, 41.10997, 1.24974 
819190504, 87665.72, 41.10998, 1.24967 
819190280, 87673.17, 41.11001, 1.24959 
819190457, 87679.66, 41.11006, 1.24956 
819190474, 87684.82, 41.11011, 1.24953 
819190406, 87697.25, 41.11022, 1.24955 
891619038, 87718.10, 41.11040, 1.24961 
819190392, 87745.64, 41.11046, 1.24929 
819190459, 87775.35, 41.11052, 1.24894 
819190364, 87846.51, 41.11067, 1.24812 
819190346, 87911.54, 41.11081, 1.24736 
819190350, 87997.72, 41.11098, 1.24636 
819190437, 88050.61, 41.11109, 1.24575 
819190412, 88104.82, 41.11120, 1.24511 
819190361, 88165.38, 41.11133, 1.24441 
819190264, 88186.24, 41.11138, 1.24417 
819190484, 88220.66, 41.11168, 1.24426 
333363327, 88232.43, 41.11171, 1.24412 
819190447, 88259.58, 41.11176, 1.24381 
333363326, 88329.77, 41.11189, 1.24298 
332308109, 88342.62, 41.11189, 1.24283 
332308214, 88412.32, 41.11203, 1.24202 
819542805, 88427.47, 41.11207, 1.24185 
819543012, 88450.47, 41.11212, 1.24158 
819190464, 88513.11, 41.11226, 1.24086 
1042837024, 88539.84, 41.11232, 1.24055 
1042837210, 88592.25, 41.11243, 1.23994 
332308681, 88616.24, 41.11249, 1.23966 
332308682, 88656.58, 41.11257, 1.23920 
1042836424, 88679.10, 41.11262, 1.23893 
367091845, 88690.09, 41.11266, 1.23881 
1002484432, 88738.40, 41.11308, 1.23868 
332127854, 89099.13, 41.11622, 1.23757 
408184949, 89103.31, 41.11621, 1.23753 
408184948, 89261.09, 41.11625, 1.23564 
332127855, 89266.72, 41.11625, 1.23558 
333295739, 89284.24, 41.11629, 1.23537 
332127473, 89307.27, 41.11633, 1.23510 
963264759, 89309.70, 41.11635, 1.23508 
963264679, 89313.44, 41.11636, 1.23504 
332127355, 89317.04, 41.11638, 1.23500 
963264313, 89321.99, 41.11639, 1.23495 
332127356, 89326.05, 41.11639, 1.23490 
963264774, 89328.78, 41.11638, 1.23486 
963264375, 89333.80, 41.11637, 1.23481 
332127357, 89338.05, 41.11636, 1.23476 
963264023, 89342.22, 41.11633, 1.23472 
963264436, 89345.73, 41.11631, 1.23469 
332127347, 89349.50, 41.11628, 1.23467 
963264803, 89351.35, 41.11627, 1.23465 
963264393, 89354.53, 41.11624, 1.23464 
963264040, 89358.57, 41.11621, 1.23463 
332127469, 89362.74, 41.11617, 1.23462 
963264452, 89365.55, 41.11615, 1.23462 
963264118, 89370.11, 41.11611, 1.23463 
963264332, 89378.50, 41.11603, 1.23460 
963264702, 89387.76, 41.11596, 1.23455 
963264069, 89399.07, 41.11589, 1.23445 
963264422, 89408.47, 41.11585, 1.23435 
963264009, 89419.68, 41.11582, 1.23422 
963264359, 89470.80, 41.11580, 1.23361 
963264742, 89511.86, 41.11579, 1.23312 
963264646, 89524.85, 41.11578, 1.23297 
408184939, 89532.14, 41.11579, 1.23288 
826246112, 89536.10, 41.11582, 1.23285 
408184940, 89538.82, 41.11583, 1.23282 
826246117, 89541.50, 41.11583, 1.23279 
408184941, 89544.42, 41.11582, 1.23275 
826246124, 89546.55, 41.11581, 1.23273 
408184942, 89549.58, 41.11579, 1.23270 
826246130, 89552.29, 41.11577, 1.23269 
276794471, 89554.87, 41.11575, 1.23268 
1000894987, 89577.41, 41.11573, 1.23241 
1000894757, 89729.86, 41.11569, 1.23060 
408184934, 89880.16, 41.11568, 1.22880 
333348964, 89975.44, 41.11561, 1.22767 
1000894676, 90070.40, 41.11559, 1.22653 
1000895145, 90077.67, 41.11557, 1.22645 
1000895252, 90112.42, 41.11555, 1.22604 
411830339, 90134.64, 41.11554, 1.22577 
1000895523, 90153.02, 41.11554, 1.22555 
999438016, 90183.47, 41.11553, 1.22519 
1000894772, 90231.91, 41.11551, 1.22461 
1000894774, 90262.44, 41.11550, 1.22425 
1000894632, 90309.44, 41.11548, 1.22369 
1000895486, 90321.89, 41.11551, 1.22355 
1000894521, 90330.53, 41.11551, 1.22344 
333299541, 90406.43, 41.11546, 1.22254 
408184914, 90446.86, 41.11545, 1.22206 
408184921, 90490.67, 41.11544, 1.22154 
408184930, 90510.51, 41.11543, 1.22130 
915389454, 90651.15, 41.11541, 1.21962 
915552054, 90712.48, 41.11539, 1.21889 
915552057, 90805.53, 41.11536, 1.21778 
1031598819, 90844.30, 41.11535, 1.21732 
1014860918, 90881.64, 41.11534, 1.21687 
1029886904, 91025.95, 41.11529, 1.21515 
915389448, 91045.21, 41.11528, 1.21492 
1029886629, 91067.95, 41.11527, 1.21465 
1029886681, 91157.62, 41.11524, 1.21358 
1029886617, 91196.66, 41.11523, 1.21311 
1029931428, 91204.89, 41.11523, 1.21302 
1029931593, 91230.74, 41.11522, 1.21271 
1029931567, 91303.40, 41.11520, 1.21184 
918165032, 91357.03, 41.11518, 1.21120 
997681199, 91369.74, 41.11520, 1.21105 
997681655, 91385.73, 41.11523, 1.21086 
997681465, 91394.87, 41.11525, 1.21076 
918165062, 91403.94, 41.11530, 1.21067 
996609249, 91409.73, 41.11533, 1.21062 
996609475, 91417.75, 41.11536, 1.21053 
918165030, 91422.39, 41.11536, 1.21047 
996609434, 91426.45, 41.11536, 1.21043 
996609556, 91434.39, 41.11533, 1.21034 
918165039, 91440.20, 41.11530, 1.21028 
918165056, 91474.22, 41.11514, 1.20994 
996608976, 91494.65, 41.11514, 1.20969 
1419321359, 91597.55, 41.11510, 1.20847 
251718035, 92192.27, 41.11493, 1.20137 
276790396, 92724.76, 41.11477, 1.19502 
529091963, 92766.72, 41.11487, 1.19454 
529091964, 92780.66, 41.11495, 1.19441 
529091957, 92799.16, 41.11493, 1.19419 
529091958, 92812.56, 41.11483, 1.19409 
276790392, 92856.82, 41.11476, 1.19357 
919768920, 93570.53, 41.11451, 1.18506 
276791878, 94663.84, 41.11413, 1.17202 
529091944, 94836.15, 41.11407, 1.16996 
276794552, 94957.60, 41.11403, 1.16852 
276792047, 95342.33, 41.11390, 1.16393 
276790391, 95792.46, 41.11377, 1.15856 
276790890, 95833.10, 41.11383, 1.15808 
276790889, 95855.47, 41.11396, 1.15787 
276790899, 95872.39, 41.11399, 1.15768 
276790898, 95896.13, 41.11400, 1.15739 
276790897, 95916.15, 41.11392, 1.15718 
276790896, 95929.87, 41.11382, 1.15708 
529091839, 95947.16, 41.11374, 1.15691 
529091840, 95992.83, 41.11369, 1.15636 
529091835, 96017.86, 41.11376, 1.15608 
529091833, 96037.15, 41.11359, 1.15609 
529091820, 96053.39, 41.11347, 1.15597 
529091821, 96071.75, 41.11344, 1.15575 
529091826, 96091.22, 41.11352, 1.15555 
529091823, 96111.97, 41.11334, 1.15557 
529091822, 96179.89, 41.11280, 1.15520 
529091824, 96218.17, 41.11248, 1.15502 
529091817, 96258.30, 41.11213, 1.15491 
529091816, 96384.45, 41.11100, 1.15471 
529091779, 96415.28, 41.11073, 1.15465 
529091780, 96445.97, 41.11046, 1.15455 
529091781, 96474.53, 41.11023, 1.15441 
529091782, 96503.59, 41.11001, 1.15422 
529091786, 96530.30, 41.10984, 1.15400 
529091785, 96538.85, 41.10981, 1.15391 
529091795, 96547.55, 41.10979, 1.15381 
529091790, 96555.98, 41.10981, 1.15371 
529091793, 96564.27, 41.10977, 1.15362 
529091792, 96575.80, 41.10967, 1.15358 
529091729, 96586.86, 41.10959, 1.15351 
529091728, 96599.92, 41.10952, 1.15339 
529091724, 96727.11, 41.10911, 1.15197 
529686082, 96825.17, 41.10879, 1.15087 
